segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,arc,0.0,1.453493,-0.10123,0.230992,483,1.493433,13.280684,0.00827,0.441247,0.914216,-0.657708,1.001182,0.000734,1.569424,1.571279
2,arc,1.453493,3.010454,0.230992,0.181721,510,1.557741,-1.812983,0.000251,0.082584,2.413761,5.905906,5.754463,1e-06,0.27149,1.562282
3,arc,3.010454,4.161123,0.181721,0.417391,382,1.174907,11.658215,7.8e-05,0.063815,2.382002,6.124721,5.976109,0.0,0.196824,1.176243
4,arc,4.161123,5.351902,0.417391,0.929612,400,1.296337,23.281738,0.000127,0.075928,2.366008,6.217027,6.069696,1e-06,0.213903,1.298324
5,arc,5.351902,6.342166,0.929612,1.618609,337,1.204047,34.669632,0.000107,0.078839,2.213343,6.516278,6.405431,0.0,0.188573,1.207892
6,arc,6.342166,7.297262,1.618609,2.624885,330,1.382927,46.319723,0.000281,0.139126,2.326933,6.391142,6.236258,0.0,0.222921,1.390193
7,arc,7.297262,8.347681,2.624885,4.782448,376,2.314676,63.011701,0.005945,0.67702,2.452797,6.330587,6.097819,2e-06,0.396167,2.415754
8,arc,8.347681,9.20038,4.782448,5.728658,292,1.142423,41.720963,0.004128,1.001472,9.517354,4.521044,1.212372,0.000269,1.094235,1.326621
9,line,9.20038,10.101066,5.728658,6.302188,303,1.071473,32.795844,5e-06,0.065242,12.824919,1.090341,5.869131,5e-05,0.181732,1.06661
10,arc,10.101066,11.098459,6.302188,6.748246,333,1.116061,26.661647,0.001027,0.292067,11.241776,5.288806,1.491104,0.000155,0.746553,1.113188
11,arc,11.098459,12.086418,6.748246,5.134836,306,1.906994,-58.797005,4.1e-05,0.298019,-15.532813,-10.486294,31.719439,8e-06,0.059639,1.891725
12,arc,12.086418,13.019667,5.134836,5.21105,308,0.957932,13.03502,0.006342,0.760022,12.472689,5.386966,0.495164,0.001035,2.252134,1.115175
13,arc,13.019667,14.143355,5.21105,6.002435,379,1.290771,29.476645,0.014353,1.220525,13.870015,5.284828,0.802767,0.000594,2.021279,1.622616
14,line,14.143355,16.120335,6.002435,-3.679489,474,12.897737,-81.182879,1.283839,6.020197,11.270482,0.332434,5.892921,0.259308,1.851375,10.910004
