parameter,label,value
x_span,x_span,13.716879
z_span,z_span,3.607172
slot_width,槽口宽度代理值,10.433733
arc_radius_mean,圆弧半径中位数,3.812231
arc_radius_min,arc_radius_min,0.562743
arc_radius_max,arc_radius_max,42.642966
center_distance_mean,相邻圆心距离中位数,1.523888
arc_length_total,圆弧长度总和,16.84054
horizontal_line_length_total,水平线段长度总和,0.0
slant_line_length_total,斜线线段长度总和,1.282192
line_length_total,line_length_total,1.282192
slant_angle_deg,斜线与水平夹角中位数,10.039852
herringbone_height,人字形线高度代理值,3.209799
