segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,line,0.0,1.205524,-0.096112,0.674358,395,1.434088,32.794308,1e-05,0.090463,7.054953,-9.727086,11.920903,3.4e-05,0.119936,1.429747
2,line,1.205524,2.436634,0.674358,0.517316,387,1.250727,-10.161057,0.000102,0.217582,2.391792,3.803849,3.266779,0.000222,0.375969,1.228209
3,arc,2.436634,3.525259,0.517316,0.533588,345,1.088782,0.97358,5.7e-05,0.064291,2.881643,6.37895,5.880208,0.0,0.185439,1.090419
4,arc,3.525259,4.671174,0.533588,0.777042,367,1.171775,12.059567,7.7e-05,0.063509,2.849912,6.489342,5.993737,0.0,0.195731,1.17316
5,arc,4.671174,5.862623,0.777042,1.297616,386,1.300349,23.615675,0.000128,0.075856,2.832741,6.59283,6.098164,1e-06,0.213551,1.302268
6,arc,5.862623,7.176831,1.297616,2.288215,432,1.641671,36.819187,0.000387,0.113892,2.675243,6.905324,6.447715,0.0,0.255876,1.649814
7,arc,7.176831,8.10647,2.288215,3.436223,312,1.471675,50.825222,0.000421,0.17329,2.764424,6.811068,6.318203,0.0,0.234319,1.480474
8,arc,8.10647,8.935919,3.436223,5.446097,290,2.118596,66.951603,0.005705,0.755773,3.011583,6.696588,6.047978,4e-06,0.361239,2.184767
9,line,8.935919,10.50005,5.446097,6.644319,509,1.889664,34.133744,0.000539,0.451278,12.461144,2.058696,4.934458,0.000423,0.401211,1.979758
10,arc,10.50005,11.611505,6.644319,7.162243,358,1.259913,28.094963,0.001068,0.279785,11.868485,5.421693,1.786946,0.000246,0.695029,1.241979
11,arc,11.611505,12.59889,7.162243,5.557149,295,1.898902,-58.669321,4e-05,0.294676,-14.817305,-10.02679,31.525087,8e-06,0.059773,1.884363
12,arc,12.59889,13.532047,5.557149,5.636976,297,0.95885,13.29362,0.006406,0.756128,12.984054,5.80964,0.494002,0.001054,2.256095,1.114515
13,arc,13.532047,14.657037,5.636976,6.439402,366,1.29826,29.941365,0.014519,1.216065,14.391394,5.711061,0.811164,0.000593,2.006525,1.627621
14,arc,14.657037,16.686953,6.439402,-3.223958,474,12.955245,-80.985362,1.322664,5.930757,12.625452,0.876477,5.375151,0.329079,2.089033,11.22887
