time,state
0.0,76.154009
2.0,68.407039
4.0,61.657442
6.0,55.779571
8.0,50.674013
10.0,46.246365
12.0,42.407239
14.0,39.07226
16.0,36.162068
18.0,33.61736
20.0,31.402097
22.0,29.477707
24.0,27.807905
26.0,26.358694
28.0,25.098362
30.0,23.997878
32.0,23.037242
34.0,22.201502
36.0,21.476151
38.0,20.847391
40.0,20.302133
42.0,19.828
44.0,19.413428
46.0,19.050696
48.0,18.734774
50.0,18.460601
52.0,18.223258
54.0,18.017968
56.0,17.840097
58.0,17.685156
60.0,17.548934
62.0,17.429301
64.0,17.324949
66.0,17.234443
68.0,17.156326
70.0,17.089111
72.0,17.031291
74.0,16.98133
76.0,16.937669
78.0,16.898816
80.0,16.864722
