point_id,x,y,distance_to_fit_center
1,-0.235444,-0.321012,3.182664
2,-0.235444,-0.246028,3.133034
3,-0.233164,-0.324752,3.183471
4,-0.230884,-0.268654,3.144476
5,-0.236299,-0.321012,3.183299
6,4.358579,-0.246028,3.028684
7,-0.187452,4.159288,3.303472
8,-0.235216,-0.283614,3.157615
9,-0.235444,-0.324752,3.185165
10,-0.228604,-0.313532,3.172577
11,-0.235444,-0.193858,3.099105
12,-0.232936,-0.324752,3.183302
13,-0.235444,-0.324752,3.185165
14,-0.201245,-0.253695,3.112347
15,-0.230428,-0.326154,3.182379
16,-0.2302,1.0702,2.473888
17,-0.235444,-0.324752,3.185165
18,-0.233164,-0.321012,3.180968
19,-0.230884,-0.317272,3.176772
20,-0.235444,-0.193858,3.099105
