t,observed,fitted,type
1,2010.0,1675.016667,history
2,2010.0,1484.372619,history
3,2010.0,1293.728571,history
4,1.1,1103.084524,history
5,6.0,912.440476,history
6,7.0,721.796429,history
7,8.0,531.152381,history
8,2010.0,340.508333,history
49,,-7475.897619,forecast
50,,-7666.541667,forecast
51,,-7857.185714,forecast
52,,-8047.829762,forecast
53,,-8238.47381,forecast
54,,-8429.117857,forecast
55,,-8619.761905,forecast
56,,-8810.405952,forecast
57,,-9001.05,forecast
58,,-9191.694048,forecast
59,,-9382.338095,forecast
60,,-9572.982143,forecast
